Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Mumbai,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-mumbai-5-to-10-years-250526923069
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Ahmedabad,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-ahmedabad-5-to-10-years-250526923061
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Kolkata,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-kolkata-5-to-10-years-250526923057
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Chennai,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-chennai-5-to-10-years-250526923055
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Pune,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-pune-5-to-10-years-250526923054
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Hyderabad,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-hyderabad-5-to-10-years-250526923052
Petrophysics Data Analyst-G&G Ops Specialist,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Mumbai,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-bcforward-india-technologies-private-limited-mumbai-5-to-10-years-250526923050
"Data Analyst (Python,ML exp)",Han Digital Solution,1-2 Yrs,Not Disclosed,"Vijayawada, Visakhapatnam, Guntur, Nellore",N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-python-ml-exp-han-digital-solution-vijayawada-visakhapatnam-guntur-nellore-1-to-2-years-221125501748
Data Analyst,Acme Services,2-5 Yrs,Not Disclosed,Mumbai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-acme-services-mumbai-2-to-5-years-210223503347
Data Analyst,Acme Services,2-5 Yrs,Not Disclosed,Mumbai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-acme-services-mumbai-2-to-5-years-210223503038
Data Analyst,eTeam Inc.,1-3 Yrs,Not Disclosed,Hyderabad,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-eteam-inc-hyderabad-1-to-3-years-180822501630
Data Analyst,Acme Services,2-6 Yrs,Not Disclosed,Mumbai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-acme-services-mumbai-2-to-6-years-170423500122
data analyst,Disha Consultants,4-8 Yrs,Not Disclosed,Jaipur,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-disha-consultants-jaipur-4-to-8-years-141221500865
